"article_ID","author_name"
"908","Emily Weinstein"
"997","Reynol Junco"
"1020","Anatoliy Gruzd"
"2426","William Yang Wang"
"14998","Luisa Andreu"
"14998","Sara Campo"
"14998","Shintaro Okazaki"
"841","Edson C. Tandoc"
"1022","Nicole B. Ellison"
"994","Eszter Hargittai"
"704","Duncan J. Watts"
"4017","David Krackhardt"
"4063","Mark S. Granovetter"
"1644","Robert Hogg"
"4035","James Samuel Coleman"
"8369","Mark Granovetter"
"16039","J. Carlos Jarillo"
"4031","Janine Nahapiet"
"4031","Sumantra Ghoshal"
"14465","William G. Ouchi"
"8361","Brian Uzzi"
"1240","Stanley Wasserman"
"1181","Miller McPherson"
"8362","Paul S. Adler"
"8368","Ronald S. Burt"
"8366","Ronald S. Burt"
"4068","Daniel J. Brass"
"8425","Brian Uzzi"
"8395","Ray Reagans"
"14439","Daniel J. Brass"
"4041","Ronald S. Burt"
"8387","Pacey C. Foster"
"8387","Stephen P. Borgatti"
"1236","Albert Laszlo Barabasi"
"8417","Gautam Ahuja"
"8394","Walter W. Powell"
"4083","Joel M. Podolny"
"8408","Wesley M. Cohen"
"8378","Wenpin Tsai"
