"article_ID","cited_by_id"
"908","6243139"
"997","4867895"
"997","2581580"
"997","4867922"
"997","429683"
"997","3524355"
"997","332284"
"997","194383"
"997","3684920"
"997","4867870"
"997","3721996"
"997","4867888"
"997","491344"
"997","3684801"
"997","3484447"
"997","3610799"
"997","3684830"
"997","841"
"997","3484357"
"997","3483936"
"997","4867930"
"997","4867907"
"997","3484279"
"997","631537"
"997","412379"
"997","1263477"
"997","3516327"
"997","487647"
"997","3684824"
"997","3831731"
"997","1186310"
"997","4867887"
"997","4308573"
"997","984"
"997","1397108"
"997","2419509"
"997","4867910"
"997","1383824"
"997","4867890"
"997","397991"
"997","3684840"
"997","4867919"
"997","1844944"
"997","4867924"
"997","4867873"
"997","4867915"
"997","4867877"
"997","1263344"
"997","4867882"
"997","1330880"
"997","4867896"
"997","4867900"
"997","2655042"
"997","3484352"
"997","4867885"
"997","1124545"
"997","1916836"
"997","2969591"
"997","1231728"
"997","4867904"
"997","3684779"
"997","1374557"
"997","460595"
"997","3684894"
"997","3484356"
"997","1948518"
"997","3288679"
"997","3581215"
"997","1948586"
"997","3456957"
"997","440762"
"997","4867901"
"997","4867891"
"997","3288910"
"997","3484261"
"997","413051"
"997","1970503"
"997","4867914"
"997","3484389"
"997","3463736"
"997","3716606"
"997","4867886"
"997","22808"
"997","4867917"
"997","3981669"
"997","4867918"
"997","3684796"
"997","4867925"
"997","4867928"
"997","4867929"
"997","645455"
"997","4867921"
"997","1262240"
"997","1294930"
"997","4309622"
"997","4867879"
"997","1330874"
"997","181542"
"997","413084"
"997","1134576"
"997","1938643"
"997","670373"
"997","4867923"
"997","2397618"
"997","1263441"
"997","3381880"
"997","3426524"
"997","2988308"
"997","3644118"
"997","3381868"
"997","1260948"
"997","3484228"
"997","3484294"
"997","194378"
"997","4867902"
"997","3484142"
"997","2324336"
"997","1273180"
"997","1858842"
"997","1384190"
"997","4867903"
"997","4214637"
"997","4867916"
"997","4867889"
"997","837356"
"997","3684872"
"997","4867884"
"997","2323037"
"997","3484013"
"997","3604468"
