"article_ID","article_title","keyword_ID","keyword"
"2","Localization of Knowledge Spillovers and Agglomeration of R&D Activities: Evidence from China's Provincial Data","76","Data"
"19","Stand und Perspektiven des internationalen Innovationsmanagements","25","Management"
"23","Knowledge spillover effects at the sub-regional level: Theory and estimation","21","Theory"
"37","The Influence of University R&D Expenditures on New Business Formations and Employment Growth","31","Influence"
"50","Defining the Relationship Among Founding Resources, Strategies, and Performance in Technology-Intensive New Ventures: Evidence from the Semiconductor Silicon Industry","24","Relationship"
"85","From Service Operational Headquarters to Joint Task Force Capable Headquarters: An Organizational Transition Model","53","Service"
"88","[book]Network Centric Warfare: Developing and Leveraging Information Superiority","59","Information"
"89","Queueing Systems Volume 1 Theory","21","Theory"
"91","War in the Information Age","59","Information"
"123","[book]Principles of Economics","63","Health"
"123","[book]Principles of Economics","31","Influence"
"123","[book]Principles of Economics","21","Theory"
"130","[book]Econometric Analysis of Cross Section and Panel Data","76","Data"
"133","Global Engagement and the Innovation Activities of Firms","40","Engagement"
"135","Links and Impacts: The Influence of Public Research on Industrial R&D","31","Influence"
"150","[book]Discrete Choice Analysis: Theory and Application to Travel Demand","21","Theory"
"155","Financial Development and Innovation in China: Evidence from the Provincial Data","76","Data"
"160","Transitions from Analog to Digital Computing in Electric Power Systems","68","Digital"
"161","A New A-C Network Analyzer","28","Network"
"179","Co-ordination of Fuel Cost and Transmission Loss by Use of the Network Analyzer to Determine Plant Loading Schedules","28","Network"
"197","The M. I. T. Network Analyzer Design and Application to Power System Problems","28","Network"
"224","Face it: Collecting mental health and disaster related data using Facebook vs. personal interview: The case of the 2011 Fukushima nuclear disaster","1","Facebook"
"225","Objective Confirmation of Subjective Measures of Human Well-Being: Evidence from the U.S.A.","43","Risk"
"228","The Impact of Event Scale: Revised","30","Impact"
"232","Mental Health Effects of Hurricane Sandy: Characteristics, Potential Aftermath, and Response","63","Health"
"233","Psychometric properties of the Impact of Event scale-revised","30","Impact"
"238","Policy Responses to Agricultural Biotechnology and Their Impact on African Development","30","Impact"
"260","Assessment of Latent Semantic Analysis (LSA) Text Mining Algorithms for Large Scale Mapping of Patent and Scientific Publication Documents","61","Mining"
"283","The Theory of the Market Economy and the Social Foundations of Innovative Enterprise","21","Theory"
"286","The Principal-Agent Problem in Development Assistance and Its Negative Impact on Local Entrepreneurship in Africa: Time For New Approaches","30","Impact"
"307","Is There a Significant Contribution of Public Sector in Biomedical Research in Japan? A Detailed Analysis of Government and University Patenting, 1991-2002","67","Government"
"318","Historical Perspectives on Contemporary Problems: Organizational Capabilities and Strategy and Structure of Large Pulp and Paper Firms, 1950-1980","15","Strategy"
"338","Publication and Patent Behavior of Academic Researchers: Conflicting, Reinforcing or Merely Co-Existing?","39","Behavior"
"340","Participative Democracy and Voice: Rethinking Community Collaboration Beyond Neutral Structures","76","Data"
"352","Collaborative Public Management and Democracy: Evidence from Western Watershed Partnerships","25","Management"
"367","The Role of Boundary Spanners as the Interorganizational Link in Nonprofit Collaborating","60","Nonprofit"
"369","Critical Theory and Corporate Social Responsibility","21","Theory"
"372","Communicating in a Collaborating Group: A Longitudinal Network Analysis","28","Network"
"375","[book]Managing to Collaborate: The Theory and Practice of Collaborative Advantage","21","Theory"
"375","[book]Managing to Collaborate: The Theory and Practice of Collaborative Advantage","22","Practice"
"380","Muting the Voice of the Local in the Age of the Global: How Communication Practices Compromised Public Participation in India's Allain Dunhangan Environmental Impact Assessment","30","Impact"
"382","Interorganizational Collaboration Explored Through the Bona Fide Network Perspective","28","Network"
"383","[book]Doing Critical Management Research","25","Management"
"383","[book]Doing Critical Management Research","21","Theory"
"383","[book]Doing Critical Management Research","22","Practice"
"385","Engagement as Co-Generative Theorizing","40","Engagement"
"392","Cross-Sector Partnerships to Address Social Issues: Challenges to Theory and Practice","21","Theory"
"392","Cross-Sector Partnerships to Address Social Issues: Challenges to Theory and Practice","22","Practice"
"398","Does One Bad Apple(Juice) Spoil the Bunch? Implicit Attitudes Toward One Product Transfer to Other Products by the Same Brand","50","Brand"
"422","Consumer neuroscience: advances in understanding consumer psychology","52","Consumer"
"432","Consumer Neuroscience: Revealing Meaningful Relationships Between Brain and Consumer Behavior","52","Consumer"
"432","Consumer Neuroscience: Revealing Meaningful Relationships Between Brain and Consumer Behavior","39","Behavior"
"433","How Reliable Are Neuromarketers' Measures of Advertising Effectiveness?: Data from Ongoing Research Holds No Common Truth among Vendors","76","Data"
"439","Health of the Implicit Association Test at Age 3","63","Health"
"448","Is the Implicit Association Test a Valid and Valuable Measure of Implicit Consumer Social Cognition","52","Consumer"
"457","Decoding an Individual's Sensitivity to Pain from the Multivariate Analysis of EEG Data","76","Data"
"459","Consumer Neuroscience: Applications, Challenges, and Possible Solutions","52","Consumer"
"462","Relationship between attitudes and evaluative space : a critical review, with emphasis on the separability of positive and negative substrates","24","Relationship"
"470","Relevance Feedback in Information Retrieval","59","Information"
"481","When Does Ownership Matter? Board Characteristics and Behavior","39","Behavior"
"483","Agency Relationships in Family Firms: Theory and Evidence","21","Theory"
"484","Power in Top Management Teams: Dimensions, Measurement, and Validation","25","Management"
"484","Power in Top Management Teams: Dimensions, Measurement, and Validation","76","Data"
"485","Private Firms and Corporate Governance: An Integrated Economic and Management Perspective","25","Management"
"495","The Impact of Board Composition on Firms’ Critical Decisions: A Meta-Analytic Review","30","Impact"
"499","The Impact of Goal Alignment on Board Existence and Top Management Team Composition: Evidence from Family-Influenced Businesses","30","Impact"
"499","The Impact of Goal Alignment on Board Existence and Top Management Team Composition: Evidence from Family-Influenced Businesses","25","Management"
"511","Corporate Governance: Decades of Dialogue and Data","76","Data"
"517","Agency Problems and the Theory of the Firm","21","Theory"
"525","Stewardship Theory or Agency Theory: CEO Governance and Shareholder Returns","21","Theory"
"528","Entrepreneurship in Medium-Size Companies: Exploring the Effects of Ownership and Governance Systems","76","Data"
"531","Entrepreneurial Risk Taking of Private Family Firms: The Influence of a Nonfamily CEO and the Moderating Effect of CEO Tenure","43","Risk"
"531","Entrepreneurial Risk Taking of Private Family Firms: The Influence of a Nonfamily CEO and the Moderating Effect of CEO Tenure","31","Influence"
"535","A Review of Theory in Family Business Research: The Implications for Corporate Governance","21","Theory"
"541","Performance Pay and Top Management Incentives","25","Management"
"542","Why do Boards Differ? Because Owners Do: Assessing Ownership Impact on Board Composition","30","Impact"
"545","The Development of Family Companies: Management and Ownership Imperatives","25","Management"
"560","Theory of the firm: Managerial behavior, agency costs and ownership structure","21","Theory"
"564","When does ownership matter? Board characteristics and behavior: Ownership and Board Behavior","39","Behavior"
"567","Data based identification and prediction of nonlinear and complex dynamical systems","76","Data"
"580","Investigation on Law and Economics Based on Complex Network and Time Series Analysis","28","Network"
