"article_ID","article_title"
"1","Proximity and localisation of corporate R&D activities"
"2","Localization of Knowledge Spillovers and Agglomeration of R&D Activities: Evidence from China's Provincial Data"
"3","Essays on Firms' Location and Cooperation in Research & Development"
"4","Multiscalar Clusters and Networks as the Foundations of Innovation Dynamics in the Biopharmaceutical Industry"
"5","Looking beyond resources: Exploring the importance of entrepreneurship to firm-level competitive advantage in technologically intensive industries"
"6","Uncertainties, Imitative Behaviours and Foreign R&D Location: Explaining the Over-concentration of Foreign R&D in Beijing and Shanghai within China"
"7","Relationships Between MNEs and Domestic Firms Following FDI: An Assessment on the Literature"
"8","The Internationalisation of the French Aerospace Industry: To What Extent Were the 1990s a Break with the Past?:"
"9","Regional hierarchies and the location of hi-tech MNEs: the case of the pharmaceutical industry in the UK"
"10","The diffusion of ICT in France: infrastructures, services, and uses"
"11","The Economic Geography of Technological Standards: Evidence on the European GNSS Industry"
"12","PATHWAYS TO THE KNOWLEDGE ECONOMY: Knowledge Processes and Regional Economies Working Paper"
"13","Analyzing the Space–Time Dynamics of Innovation in China: ESDA and Spatial Panel Approaches"
"14","The impact of internationalization on the technology sourcing performance of high-tech business units"
"15","Firms' Location and R&D Cooperation in an Oligopoly with Spillovers"
"16","The Regional Location of Knowledge Based Economy Activities in Israel"
"17","Why Do Firms Relocate? Lessons from a Regional Analysis"
"18","How far do They Reach? The Localization of Industrial and Academic Knowledge Spillovers in the Netherlands"
"19","Stand und Perspektiven des internationalen Innovationsmanagements"
"20","Location determinants ofhigh-tech manufacturing activities: apreliminary analysis"
"21","The Geography of Innovativeness - New product announcements in The Netherlands"
"22","The recent location of foreign R&D activities by large MNCs in the European regions. The role of different sources of spillovers"
"23","Knowledge spillover effects at the sub-regional level: Theory and estimation"
"24","Agglomeration economies and vertical alliances : the route to product innovation in biotechnology firms"
"25","The location of technological activities of MNCs in European regions: The role of spillovers and local competencies"
"26","The Demise of Distance? The Declining Role of Physical Proximity for Knowledge Transmission"
"27","Les pôles de compétitivité : morphologies et performances"
"28","Organizational strategies, firms' performance and spatial spillovers : the Canadian case in research and development"
"29","International R&D Deployment and Locational Advantage of Developing Countries: A Case Study of Taiwan"
"30","Agglomeration, ownership, and R&D activity: firm-level evidence from China’s electronics industry"
"31","Does Distance Matter Less Now? The Changing Role of Geography in Biotechnology Innovation"
"32","Developing capabilities for integration in multinational R&D approaches and models"
"33","Forschungseinrichtungen und Unternehmenssektor: Ein Beitrag zur Erklärung innovationsorientierter Zusammenarbeit"
"34","Introduction: the role of proximity relations in regional and territorial development processes"
"35","The role of proximity relations in regional and territorial development processes"
"36","A far friend is worth more than a good neighbour : Proximity and innovation in a small country"
"37","The Influence of University R&D Expenditures on New Business Formations and Employment Growth"
"38","Linkages and spillovers in global production networks: firm-level analysis of the Czech automotive industry"
"39","Surveying the Literature on Territorial Innovation Systems: A Suggested Interpretation Framework"
"40","CAN A KNOWLEDGE-BASED CLUSTER BE CREATED? THE CASE OF THE BARCELONA 22@DISTRICT *"
"41","Modular Production and the New Division of Labour Within Europe: The Perspective of French Automotive Parts Suppliers"
"42","Mapping Foreign direct Investment in UK Regions: The Role of Environmental Determinism and Dynamism"
"43","Concentraciones territoriales, alianzas estratégicas e innovación. Un enfoque de capacidades dinámicas☆"
