"id","expected_cited_by_count","expected_cites_count","abstract","publish_date","date_added","title","journal_id"
"1",191,0,"Abstract   The present article is an attempt to analyse the geographical agglomeration of corporate research and development activities through the use of a desegregated sectorial approach. By focusing on those interfaces that are critical for the organisation of innovation-related activities, as well as on the degree of complexity of the knowledge base which is being mobilised, this study will seek to determine the exact nature, and the intensity, of the need for geographic proximity. The explanatory model will then be tested by an econometric analysis of the localisation and clustering of corporate R&D activities in FranceAbstract   The present article is an attempt to analyse the geographical agglomeration of corporate research and development activities through the use of a desegregated sectorial approach. By focusing on those interfaces that are critical for the organisation of innovation-related activities, as well as on the degree of complexity of the knowledge base which is being mobilised, this study will seek to determine the exact nature, and the intensity, of the need for geographic proximity. The explanatory model will then be tested by an econometric analysis of the localisation and clustering of corporate R&D activities in France","2001-05-01","2019-02-08","Proximity and localisation of corporate R&D activities",1
"2",NULL,NULL,NULL,NULL,"2019-02-08","Localization of Knowledge Spillovers and Agglomeration of R&D Activities: Evidence from China's Provincial Data",NULL
"3",0,149,"","2006-01-01","2019-02-08","Essays on Firms' Location and Cooperation in Research & Development",6
"4",NULL,NULL,NULL,NULL,"2019-02-08","Multiscalar Clusters and Networks as the Foundations of Innovation Dynamics in the Biopharmaceutical Industry",NULL
"5",NULL,NULL,NULL,NULL,"2019-02-08","Looking beyond resources: Exploring the importance of entrepreneurship to firm-level competitive advantage in technologically intensive industries",NULL
"6",NULL,NULL,NULL,NULL,"2019-02-08","Uncertainties, Imitative Behaviours and Foreign R&D Location: Explaining the Over-concentration of Foreign R&D in Beijing and Shanghai within China",NULL
"7",NULL,NULL,NULL,NULL,"2019-02-08","Relationships Between MNEs and Domestic Firms Following FDI: An Assessment on the Literature",NULL
"8",NULL,NULL,NULL,NULL,"2019-02-08","The Internationalisation of the French Aerospace Industry: To What Extent Were the 1990s a Break with the Past?:",NULL
"9",0,34,"Globalization, far from eliminating the relevance of geography, brings to the surface the importance of location as a collector and repository of specialized knowledge. In this “new age of capitalism”, regions are emerging as important catalysts for innovation and production development. This paper investigates the location patterns of R&D-intensive MNEs at the geographical micro-level. Analysis refers to the pharmaceutical industry, as one of the most active industries in FDI in R&D, and their foreign activities established in British regions. In this route, the present study develops a hierarchy of UK regions both on a technological and skills basis but also on a broader basis covering the overall macroeconomic environment. Results point towards a combination of corporate location strategies. High-technology firms are more likely to operate abroad in technology specialised large regions in accordance with regional hierarchical ordering. This pattern is consistent with MNEs’ commitment to access and tap into the specific technological assets embedded in the local knowledge systems and at the same time exploit their corporate-specific advantages in large markets.Globalization, far from eliminating the relevance of geography, brings to the surface the importance of location as a collector and repository of specialized knowledge. In this “new age of capitalism”, regions are emerging as important catalysts for innovation and production development. This paper investigates the location patterns of R&D-intensive MNEs at the geographical micro-level. Analysis refers to the pharmaceutical industry, as one of the most active industries in FDI in R&D, and their foreign activities established in British regions. In this route, the present study develops a hierarchy of UK regions both on a technological and skills basis but also on a broader basis covering the overall macroeconomic environment. Results point towards a combination of corporate location strategies. High-technology firms are more likely to operate abroad in technology specialised large regions in accordance with regional hierarchical ordering. This pattern is consistent with MNEs’ commitment to access and tap into the specific technological assets embedded in the local knowledge systems and at the same time exploit their corporate-specific advantages in large markets.","2008-01-01","2019-02-08","Regional hierarchies and the location of hi-tech MNEs: the case of the pharmaceutical industry in the UK",6
"10",NULL,NULL,NULL,NULL,"2019-02-08","The diffusion of ICT in France: infrastructures, services, and uses",NULL
"11",NULL,NULL,NULL,NULL,"2019-02-08","The Economic Geography of Technological Standards: Evidence on the European GNSS Industry",NULL
"12",NULL,NULL,NULL,NULL,"2019-02-08","PATHWAYS TO THE KNOWLEDGE ECONOMY: Knowledge Processes and Regional Economies Working Paper",NULL
"13",NULL,NULL,NULL,NULL,"2019-02-08","Analyzing the Space–Time Dynamics of Innovation in China: ESDA and Spatial Panel Approaches",NULL
"14",NULL,NULL,NULL,NULL,"2019-02-08","The impact of internationalization on the technology sourcing performance of high-tech business units",NULL
"15",NULL,NULL,NULL,NULL,"2019-02-08","Firms' Location and R&D Cooperation in an Oligopoly with Spillovers",NULL
"16",NULL,NULL,NULL,NULL,"2019-02-08","The Regional Location of Knowledge Based Economy Activities in Israel",NULL
"17",NULL,NULL,NULL,NULL,"2019-02-08","Why Do Firms Relocate? Lessons from a Regional Analysis",NULL
"18",NULL,NULL,NULL,NULL,"2019-02-08","How far do They Reach? The Localization of Industrial and Academic Knowledge Spillovers in the Netherlands",NULL
